Name Organisation/Gruppen;Koordinaten;Ort (Stadt);Webseite;Kontakt (email);Kraftwerke;Besonderheit;News;kontaktiert; Kontaktpersonen;;
Klimawende Köln;50.948294, 6.968341;Köln;"https://www.klimawende.koeln/
https://www.klimawende.org/klimawende-koeln";info@klimawende.koeln;"Köln-Merkenich
Rostock";"Mit zwei Bürgerbegehren wollen wir unsere RheinEnergie dazu bringen, spätestens 2030 nur noch Strom und Wärme aus Erneuerbare Energien zu liefern. Doch noch betreibt die RheinEnergie ein Braunkohlekraftwerk im Norden von Köln und  ist die RheinEnergie mit 49,6 % an dem Steinkohlekraftwerk in Rostock beteiligt. Wir fordern die RheinEnergie auf jetzt eine Solar-Offensive zu starten und das Braunkohlekrafterk in Köln-Merkenich spätestens 2025 stillzulegen.
Wir fordern die RheinEnergie auf, das Kraftwerk Rostock 2024 stillzulegen - dann läuft nämlich der Fernwärmeliefervertrag mit der Stadt Rostock aus";[link];ja;klimawendekoeln@posteo.de;;
Heidelberg kohlefrei;49.401904, 8.705616;Heidelberg;"https://hd-kohlefrei.de/
https://www.klimawende.org/heidelberg-kohlefrei";bund.heidelberg@bund.net;Großkraftwerk Mannheim ;Gespräche mit den Energieversorgern der Region, Parteien, Gemeinderäten und der Stadtverwaltung Heidelberg zu den Alternativen zur Steinkohleenergie und Energiegewinnung aus fossilen Energien, Info-Aktionen & Demos,  Positionspapiere, Vorträge, Aufklärungsarbeit zu Abbaubedingungen der Steinkohle, z.B. in der Republik Kolumbien, Vernetzung mit Aktivist*innen in und aus Abbaugebieten;"[link]
[https://hd-kohlefrei.de/blog/] ";ja;amany.vonoehsen@googlemail.com;;
Mannheim kohlefrei;49.486743, 8.500951;Mannheim;"https://www.mannheim-kohlefrei.de 
https://www.klimawende.org/mannheim-kohlefrei";mannheim_kohlefrei@riseup.net;Großkraftwerk Mannheim ;;[link];ja;Leon Brülke <lambrue@gmail.com>;;
Kassel kohlefrei;;;;;;;;ja;info@kassel-kohlefrei.de;;
"Bündnis Fossilfreies Flensburg
";54.789038, 9.396693;Flensburg;https://www.klimawende.org/flensburg-fossilfrei;flensburg.fossilfrei@posteo.de;Flensburg;"Unsere Forderungen und Ziele:
- eine von fossilen (und dazu aus fragwürdigen Quellen zugelieferten) Energien unabhängige Energieversorgung
- eine regionale, nachhaltige Energieerzeugung und mehr Kooperation (z.B. mit den zahlreich vorhandenen Onshore-Windparks, die bald aus der EEG-Förderung herausfallen)
- der generationenübergreifende Erhalt der Kommunalität unserer Stadtwerke

Unsere Tätigkeiten (u.a.):
- Durchführung von Informationsveranstaltungen
- Anregung von politischen Diskursen
- Wissensvernetzung";[link];ja;philipp.austermann@posteo.de;;
Klimainitiative Neumünster;;;;;;;;ja;energiewendeNMS@gmx.de;;
[Rostock];;;;;;;;;;;
[Bochum];;;;;;;;;;;
[Hannover];;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Kohleausstieg Berlin;52.526688, 13.433222;Berlin;https://www.kohleausstieg-berlin.de/;info@kohleausstieg-berlin.de;"Klingenberg
Moabit
Reuter West
Jänschwalde
Boxberg
Schwarze Pume";"2016+2017 Bootsdemo „Coal & Boat“ vor Klingenberg 
2017 Abschaltung von Klingenberg
2017 Demo „Rote Linie“ vor  Moabit
2018 Bootsdemo „Coal & Boat“ vor Moabit 
2018 Demo „Rote Linie“ vor KW Moabit
2019 Demo „Rote Linie für Kohle, Gas und Müll“
Zur Vorstellung einer Machbarkeitsstudie Kohleausstieg in Berlin
2019 Bootsdemo „Coal & Boat“  in Potsdam
2019 Verbändedemo vor Jänschwalde
2017-2019 Kampagne und Petition „Rettet unser
Wasser –  Neue Tagebaue ausschließen“";[link];ja;info@kohleausstieg-berlin.de;;
Tschüss Kohle;;;;;;"
";;ja;info@tschuess-kohle.de;;
Raus aus der Steinkohle;48.110691, 11.557705;München;https://www.klimawende.org/raus-aus-der-steinkohle/;info@raus-aus-der-steinkohle.de;Heizkraftwerk Nord (München);;"
[link]
[https://twitter.com/Kohleausstieg_M] ";ja;info@raus-aus-der-steinkohle.de;;
;;;;;;;;;;;
Alle Dörfer Bleiben;;"Rheinland, Lausitz, 
Halle / Leipziger Land";www.alle-doerfer-bleiben.de;info@alle-doerfer-bleiben.de  ;alle Braunkohlekraftwerke in Deutschland;"Wir, die durch Tagebaue und Zwangsumsiedlung direkt betroffen sind, Aktive der Klimagerechtigkeitsbewegung, solidarische Bürgerinnen und Bürger. Weder im Rheinland, noch in der Lausitz, noch im Leipziger Land darf auch nur ein einziges weiteres Dorf dem Braunkohleabbau zum Opfer fallen. Wir stehen solidarisch dafür ein, dass in allen drei Regionen alle Siedlungen und Orte bestehen bleiben und ein lebendiges Zusammenleben sowie eine gerechte und selbstbestimmte Transformation möglich werden. Das heißt auch: Die Braunkohle muss im Boden bleiben, denn um die Klimakatastrophe abzuwenden, dürfen 1,5°C Erderwärmung nicht überschritten werden.  Wir organisieren z.B. Wald- und Dorfspaziergänge und Sternmärsche, bieten aktuell eine Veranstaltungsreihe ""Dienstage & Donnerstage für Dörfer"" an, beschäftigen uns mittlerweile auch mit Dorfentwicklung.  ";"https://www.alle-doerfer-bleiben.de/presse/pressemitteilungen/
Twitter: AlleDoerfer, Facebook: Alle Dörfer Bleiben
[link]  
";ja;ddresen@posteo.de;;
Alle Dörfer bleiben Halle/Leipziger Land;51.182988, 12.373092;;https://www.bund-sachsen.de/poedelwitz-bleibt/;poedelwitz.bleibt@bund-sachsen.de;Lippendorf;;;;;;
Menschenrecht vor Bergrecht;51.083623, 6.411620;Keyenberg (Erkelenz);https://menschenrecht-vor-bergrecht.de;"info@menschenrecht-vor-bergrecht.de
presse@menschenrecht-vor-bergrecht.de
";"Neurath
Niederaußem";Die Solidargemeinschaft von Menschenrecht vor Bergrecht (MvB) hat gemeinschaftlich eine Obstwiese am Ortsrand von Keyenberg (Stadt Erkelenz) erworben. Die Eigentümer*innen wollen damit den juristischen Weg bestreiten, um die Enteignung in Zeiten des Klimawandels zu verhindern. Alle Mitglieder von MvB wohnen in den gefährdeten Dörfern bei Garzweiler II oder am Tagebaurand.;[link];;;;
;;;;;;;;;;;
[FFF Ortsgruppen];;;;;;;;;;;
[EG Ortsgruppen];;;;;;;;;;;
[Decoalonize Europe];;;;;;;;;;;
;;;;;;;;;;;
Bund für Umwelt und Naturschhutz Regionalgruppe Leipzig (BUND Leipzig);51.350803, 12.360812;Leipzig;https://www.bund-leipzig.de/;[ausstehend];Lippendorf;;[link];ja;kontakt(at)bund-leipzig.de;;
